A1;ACCESO BARCELONA (entrada y salida)
A10;PASEO DE LA ALAMEDA
A100;EMILIO BARO
A102;ERNESTO FERRER
A103;EUGENIA VINES
A104;EUGENIA VINES
A105;FILIPINAS
A106;FONTANARES
A107;AV. DE FRANCIA
A108;GASCO OLIAG
A109;GASPAR AGUILAR
A11;NUEVA ALAMEDA
A110;GASPAR AGUILAR
A111;GENERAL AVILES
A112;GENERAL ELIO
A113;GENERAL GIL DOLZ
A114;GENERAL URRUTIA
A115;GENERAL URRUTIA
A116;GIORGETA
A117;FERNANDO EL CATOLICO
A118;GERMANIAS
A119;P.I. DE GERMANIAS
A12;NUEVA ALAMEDA
A120;MARQUES DEL TURIA
A121;MARQUES DEL TURIA
A122;RAMON Y CAJAL
A123;GUADALAVIAR
A124;GUILLEM DE CASTRO
A126;GUILLEM DE CASTRO
A127;GUILLEM DE CASTRO
A128;GUILLEM DE CASTRO
A129;HERMANOS MARISTAS
A13;ALBORAYA
A130;HERNAN CORTES
A131;ISABEL DE VILLENA
A132;ISABEL LA CATOLICA
A133;ISLAS CANARIAS
A134;ISLAS CANARIAS
A135;J.J. DOMINE
A136;JACINTO BENAVENTE
A137;JAIME BELTRAN
A138;JAIME ROIG
A139;JESUS
A14;ALBORAYA
A140;JESUS
A141;JOAQUIN BALLESTER
A142;JOAQUIN BENLLOCH
A143;LINARES
A144;LLANO DE ZAIDIA
A145;LORCA
A146;MAESTRO RODRIGO
A147;MAESTRO RODRIGO
A148;CARRERA  DE MALILLA
A149;CARRERA DE MALILLA
A15;ALCALDE REIG
A150;AV. MALVARROSA
A152;MANUEL DE FALLA
A153;MANUEL SOTO INGENIERO
A154;MARQUES DE SOTELO
A155;MATIAS PERELLO
A156;MEDITERRANEO
A157;MEDITERRANEO
A158;MENENDEZ PIDAL
A159;MENENDEZ PIDAL
A16;ALICANTE
A160;MENORCA
A161;MENORCA
A162;MENORCA
A163;MESTRE RACIONAL
A164;MICER MASCO
A165;AV. DE LOS NARANJOS
A166;NAVARRO REVERTER
A168;NICASIO BENLLOCH
A169;NICASIO BENLLOCH
A17;ALMAZORA
A170;NUEVE DE OCTUBRE  (Ambos Sentidos)
A171;PADRE FERRIS
A173;PASEO CIUDADELA
A174;PASEO CIUDADELA
A175;PASEO PECHINA
A176;PASEO PECHINA
A177;PASEO PECHINA
A178;PAVIA
A179;PAVIA
A18;ANGEL GUIMERA
A180;PAZ
A181;PAZ
A182;PEDRAPIQUERS
A183;PEDRO ALEIXANDRE
A184;PEREZ GALDOS
A185;PEREZ GALDOS
A186;PEREZ GALDOS
A187;PERIS Y VALERO
A188;PERIS Y VALERO
A189;P.E. AV. GIORGETA
A19;ANGEL GUIMERA
A190;PERIS Y VALERO
A191;PINTOR LOPEZ
A192;PIO BAROJA, AVENIDA
A193;PIO XII
A194;PIO XII
A195;AV. DE LA PLATA
A196;AV. DE LA PLATA
A197;AV. DE LA PLATA
A198;PRIMADO REIG
A199;PRIMADO REIG
A20;ANTIGUO REINO
A200;PRIMADO REIG
A201;PRIMADO REIG
A202;P.I. PRIMADO REIG
A204;PUERTO, AVENIDA DEL
A205;PUERTO, AVENIDA DEL
A206;PUERTO, AVENIDA DEL
A207;AV. DEL PUERTO
A208;QUART - S.J. MONTANA
A209;QUART
A21;ANTIGUO REINO
A210;QUEVEDO
A211;RAMON LLULL
A212;RAMON LLULL
A213;CALLE DE LA REINA
A214;CALLE DE LA REINA
A215;CALLE DE LA REINA
A216;ROGER DE LAURIA
A217;RUZAFA
A218;RUZAFA + MAESTRO AGUILAR
A219;LA SAFOR
A22;ANTIGUO REINO
A220;GARBÍ
A221;SAGUNTO
A222;SAGUNTO
A223;SAN PIO V
A224;SAN VICENTE
A225;SAN VICENTE
A226;SAN VICENTE
A227;SAN VICENTE
A228;SAN VICENTE
A229;SANGRE-GARRIGUES
A23;PINTOR FERRANDIS
A230;SANTOS JUSTO Y PASTOR
A231;SANTOS JUSTO Y PASTOR
A232;SERRERIA
A233;SERRERIA
A234;SERRERIA
A235;SERRERIA
A236;SORNI
A237;SUECIA
A238;PL. TETUAN
A239;TIRSO DE MOLINA
A24;ARCHIDUQUE CARLOS
A240;TIRSO DE MOLINA
A241;TOMAS DE MONTANANA
A242;TOMAS DE MONTANANA
A243;TOMAS DE VILLARROYA
A244;VARIANTE DE LA TORRE
A245;TRES CRUCES
A246;TRES CRUCES
A247;TRES FORQUES
A248;TRES FORQUES
A249;TRES FORQUES
A25;ARCHIDUQUE CARLOS
A250;VALLE DE LA BALLESTERA
A251;VALLE DE LA BALLESTERA
A252;XATIVA
A253;YECLA
A254;ZAPADORES
A255;ADEMUZ (ACCESO)
A256;BLANQUERIAS
A257;MISLATA (ACCESO)
A258;INSTITUTO OBRERO DE VALENCIA
A259;MANUEL CANDELA
A26;ARCHIDUQUE CARLOS
A260;AV. BALEARES
A261;AV. BALEARES
A262;SAGUNTO
A263;AV. CONSTITUCION
A264;GIBRALTAR
A265;PEDRO ALEIXANDRE
A266;PLAZA AMERICA
A267;PUENTE NUEVE DE OCTUBRE
A268;PUENTE DEL MONTEOLIVETE
A269;ROGER DE LAURIA
A27;AUSIAS MARCH
A270;PUENTE DE CAMPANAR
A271;PUENTE DE ADEMUZ
A272;PUENTE DE LAS ARTES
A273;MENENDEZ PIDAL
A274;PUENTE DE SAN JOSE
A275;PUENTE DE LA TRINIDAD
A276;PUENTE DEL REAL
A277;PUENTE DE LAS FLORES
A278;PUENTE DE ARAGON
A279;PUENTE DEL REINO
A28;AUSIAS MARCH
A280;PUENTE DE ANGEL CUSTODIO
A281;PUENTE DE ASTILLEROS
A283;JUAN VERDEGUER
A284;CLARIANO
A285;PESET ALEIXANDRE
A286;PESET ALEIXANDRE
A287;ACCESO BARCELONA (PASO INFERIOR)
A288;SAGUNTO
A289;AVDA. CONSTITUCION
A29;AUSIAS MARCH
A290;SAN JOSE DE CALASANZ
A291;PINTOR BENEDITO
A292;PEDRO ALEIXANDRE
A293;DR. MANUEL CANDELA
A294;JOAQUÍN BALLESTER
A295;CLARIANO (SIN PASO INFERIOR)
A296;ACCESO BARCELONA RAMAL DE ENTRADA
A297;ACCESO  BARCELONA (RAMAL DE SALIDA DE ROTONDA A V-21)
A298;ACCESO DE BURJASSOT (ENTRADA)
A299;CAMP DEL TURIA
A3;AV. CATALUNA
