ATA,DESCRIPCION,TIPO,BARRIO,CP,SENTIDO,CARRILES,LIMITE,COMENTARIO
B47,fuerteventura,residencial,poblados maritimos,46011,1,1,30,calle pequeña
A229,sangre-garrigues,residencial,ciutat vella,46001,1,1,30,calle pequeña
A222,sagunto de santa monica a maximiliano thous,terciaria,la saidia,46009,1,2,30,calle larga
A174,paseo ciudadela,primaria,ciutat vella,46003,1,3,50,calle larga 
A268,puente del monteloivete,secundaria,quatre carreres,46006,2,4,50,puente
B46,fuente encarroz,residencial,poblados maritimos,46011,1,1,30,calle pequeña
A173,paseo ciudadela,primaria,ciutat vella,46003,1,3,50,calle larga
A134,islas canarias,residencial,el pla del real,46023,1,2,30,calle pequeña
A139,jesus,secundaria,jesus,46007,1,4,50,calle larga
A196,avenida de la plata,secundaria,quatre carreres,46013,2,2,50,avenida
A197,avenida de la plata,secundaria,quatre carreres,46013,2,2,50,avenida
A24,archiduque carlos,secundaria,patraix,46018,2,6,50,calle larga
A296,acceso barcelona ramal de entrada [de v-21 a rotonda],salida,algiros,46021,1,7,50,salida
A14,alboraia,terciaria,la saidia,46010,1,3,50,calle pequeña
A16,alicante,residencial,l eixample,46004,1,1,30,calle pequeña
A161,menorca,primaria,camins al grau,46023,2,4,50,calle larga
A20,avenida antic regne,primaria,l eixample,46005,2,3,50,avenida
A210,quevedo,residencial,ciutat vella,46001,1,2,30,calle pequeña
A246,tres cruces,primaria,l olivereta,46018,2,4,50,avenida
B121,amparo iturbi de j. benlloch a j. ramon jimenez,residencial,jesus,46007,1,2,30,calle pequeña
B124,mendizabal de alvaro lopez a fausto elio,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B126,sierra aguillent de florista a av. burjasot,residencial,campanar,46009,1,1,30,calle pequeña
B2,actor mora,residencial,la saidia,46009,2,1,30,calle pequeña
A199,primado reig,primaria,rascanya,46019,2,7,50,avenida
A252,xativa,secundaria,ciutat vella,46002,1,4,50,calle larga
A395,c ruaya,residencial,la saidia,46009,2,2,30,calle larga
A73,ciscar,terciaria,l eixample,46005,1,2,30,calle pequeña
A98,dolores marques,residencial,la saidia,46020,1,2,30,calle pequeña
B125,cuartell de florista a alqueria de bellver,residencial,benicalap,46015,1,2,30,calle pequeña
B118,molinell,terciaria,la saidia,46010,2,3,30,calle pequeña
B17,canal de navarres,residencial,campanar,46015,2,1,30,calle pequeña
B14,burriana,residencial,l eixample,46005,1,1,30,calle pequeña
B15,calixto iii,residencial,extramuros,46008,1,1,30,calle pequeña
B16,campoamor,residencial,algiros,46021,2,2,30,calle pequeña
B18,carrasqueta,residencial,benicalap,46015,1,1,30,calle pequeña
B21,cavite,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B27,convento carmelitas,residencial,la saidia,46010,1,1,30,calle pequeña
B32,doctor perez feliu,residencial,patraix,46014,1,1,30,calle pequeña
B44,fray junipero serra,terciaria,patraix,46014,2,2,30,calle pequeña
B55,l horta sud,residencial,benicalap,46015,2,2,30,calle pequeña
B57,jaca,residencial,la saidia,46010,1,1,30,calle pequeña
B72,ministro luis mayans,residencial,la saidia,46009,2,2,30,calle pequeña
B73,musico ayllon,terciaria,l olivereta,46018,1,1,30,calle pequeña
B74,musico gines,terciaria,algiros,46022,1,1,50,calle pequeña
A257,acceso mislata salida,secundaria,l olivereta,46014,1,2,50,salida
A266,plaza america,primaria,l eixample,46004,2,8,50,calle larga
A29,ausias march,primaria,quatre carreres,46006,2,8,50,avenida
A295,clariano,primaria,algiros,46021,2,6,50,calle larga
A387,tres cruces,primaria,l olivereta,46018,2,8,50,calle larga
B75,olta,residencial,quatre carreres,46006,2,2,30,calle pequeña
A397,reus (entre burjasot y ruaya),terciaria,la saidia,46009,2,4,30,calle pequeña
A407,avda. del levante u.d.(entre av. de ecuador y juan xxiii),terciaria,benicalap,46025,2,6,30,avenida
A44,baron de carcer avda,residencial,ciutat vella,46001,2,4,30,avenida
A45,baron de carcer avda,residencial,ciutat vella,46001,2,4,30,avenida
A80,constitucion avenida,residencial,la saidia,46009,2,3,50,avenida
B115,alameda,primaria,el pla del real,46010,2,5,50,calle larga
B108,vicente de la roda,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B13,borrull,residencial,extramuros,46008,1,1,30,calle pequeña
B123,padre anton martin de avda. naranjos a san juan de dios,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B23,coeters,residencial,patraix,46014,1,2,30,calle pequeña
B20,castielfabig,residencial,campanar,46015,1,2,30,calle pequeña
B24,cofrentes,terciaria,benimaclet,46010,2,2,30,calle pequeña
B26,conde salvatierra,residencial,l eixample,46004,1,1,30,calle pequeña
B58,jaime esteve,residencial,benimaclet,46020,1,1,30,calle pequeña
B65,juan giner,residencial,benimaclet,46020,1,1,30,calle pequeña
B69,marva,residencial,extramuros,46007,1,1,30,calle pequeña
B91,ramon asensio,residencial,benimaclet,46020,1,2,30,calle pequeña
B36,enguera,terciaria,patraix,46018,2,4,30,calle pequeña
B41,felix pizcueta,residencial,l eixample,46004,1,1,30,calle pequeña
B60,joaquin costa,terciaria,l eixample,46005,1,2,30,calle pequeña
A119,tunel de las grandes vias,primaria,extramuros,46007,2,2,40,tunel
A120,gran via marques del turia,primaria,l eixample,46005,2,8,50,calle larga
A121,gran via marques del turia,primaria,l eixample,46005,2,8,50,calle larga
A122,gran via ramon y cajal,primaria,extramuros,46007,2,9,50,calle larga
A128,guillem de castro,primaria,ciutat vella,46002,1,3,50,calle larga
A129,hermanos maristas,secundaria,quatre carreres,46013,2,6,50,avenida
A131,isabel de villena,terciaria,poblados maritimos,46011,1,2,30,calle pequeña
A132,isabel la catolica,residencial,l eixample,46004,1,2,30,calle pequeña
A133,islas canarias,residencial,el pla del real,46023,1,2,30,calle pequeña
A130,hernan cortes,residencial,l eixample,46004,1,1,30,calle pequeña
A135,j.j. domine,secundaria,poblados maritimos,46011,1,1,30,calle pequeña
A136,jacinto benavente,primaria,l eixample,46005,2,6,50,avenida
A138,jaime roig,terciaria,el pla del real,46010,1,3,30,calle larga
A140,jesus,secundaria,jesus,46007,1,4,50,calle larga
A141,joaquin ballester,terciaria,campanar,46009,2,6,30,calle larga
A142,joaquin benlloch,residencial,quatre carreres,46006,2,4,30,calle pequeña
A146,maestro rodrigo,primaria,campanar,46015,2,7,50,calle larga
A147,maestro rodrigo,primaria,campanar,46015,2,7,50,calle larga
A15,alcalde reig,primaria,quatre carreres,46006,2,6,50,calle larga
A150,malvarrosa avenida,terciaria,poblados martimos,46011,1,2,30,calle pequeña
A152,manuel de falla,primaria,campanar,46015,1,5,50,calle larga
A153,manuel soto ingeniero avenida,secundaria,poblados maritimos,46024,2,7,50,calle larga
A154,marques de sotelo,residencial,ciutat vella,46002,2,6,30,calle larga
A176,paseo pechina,primaria,extramuros,46008,1,4,50,calle larga
A181,paz,residencial,ciutat vella,46003,1,3,30,calle pequeña
A182,predrapiquers,residencial,patraix,46014,2,4,30,calle pequeña
A187,peris y valero,primaria,quatre carreres,46006,2,5,50,avenida
A189,peris y valero,primaria,quatre carreres,46006,2,5,50,avenida
A18,angel guimera,secundaria,extramuros,46008,1,4,30,calle larga
A190,peris y valero,primaria,quatre carreres,46006,2,5,50,avenida
A193,pio xii,secundaria,campanar,46009,2,10,50,avenida
A194,pio xii,secundaria,campanar,46009,2,10,50,avenida
A195,avenida de la plata,secundaria,quatre carreres,46013,2,2,50,avenida
A179,pavia,terciaria,poblados maritimos,46011,2,4,30,calle pequeña
A19,angel guimera,secundaria,extramuros,46008,1,5,50,calle larga
A180,paz,residencial,ciutat vella,46003,1,3,30,calle pequeña
A184,perez galdos,primaria,jesus,46007,2,7,50,calle pequeña
A185,perez galdos,primaria,jesus,46007,2,7,50,calle pequeña
A186,perez galdos,primaria,jesus,46007,2,7,50,calle pequeña
A188,peris y valero,primaria,quatre carreres,46006,2,5,50,avenida
A192,pio baroja avenida,primaria,campanar,46015,2,8,50,avenida
A22,avenida antic regne,primaria,l eixample,46005,2,3,50,avenida
A220,safor la,secundaria,benicalap,46015,2,2,30,calle pequeña
A221,sagunto,terciaria,la saidia,46009,1,2,30,calle pequeña
A224,san vicente,secundaria,jesus,46017,1,3,50,calle larga
A23,antonio juan y pintor ferrandi,terciaria,poblados maritimos,46011,2,3,30,calle pequeña
A231,santos justo y pastor,terciaria,algiros,46021,2,2,50,calle larga
A238,tetuan plaza,secundaria,ciutat vella,46003,1,4,30,calle larga
A240,tirso de molina,primaria,campanar,46009,1,6,50,avenida
A247,tres forques,secundaria,patraix,46018,2,6,50,avenida
A250,valle de la ballestera,terciaria,campanar,46015,2,6,50,calle larga
A251,valle de la ballestera,terciaria,campanar,46015,2,6,50,calle larga
A253,yecla,terciaria,algiros,46021,2,2,40,calle larga
A254,zapadores,residencial,quatre carreres,46006,1,1,30,calle pequeña
