B47; FUERTEVENTURA
A229; SANGRE-GARRIGUES
A222; SAGUNTO De Santa Mónica a Maximiliano Thous
A174; PASEO CIUDADELA
A268; PUENTE DEL MONTEOLIVETE
B46; FUENTE ENCARROZ
A173; PASEO CIUDADELA
A134; ISLAS CANARIAS
A139; JESUS
A196; PLATA, AVENIDA DE LA
A197; PLATA, AVENIDA DE LA
A24; ARCHIDUQUE CARLOS
A296; ACCESO BARCELONA RAMAL DE ENTRADA [De V-21 a Rotonda]
A14; ALBORAIA
A16; ALICANTE
A161; MENORCA
A20; ANTIC REGNE, AVENIDA
A210; QUEVEDO
A246; TRES CRUCES
B121; AMPARO ITURBI De J. Benlloch a J. Ramón Jiménez
B124; MENDIZÁBAL De Álvaro López a Fausto Elio
B126; SIERRA AGULLENT De Florista a Av. Burjasot
B2; ACTOR MORA
A199; PRIMADO REIG
A252; XATIVA
A395; C/ RUAYA
A73; CISCAR
A98; DOLORES MARQUES
B125; CUARTELL De Florista a Alquería de Bellver
B118; MOLINELL
B17; CANAL DE NAVARRÉS
B14; BURRIANA
B15; CALIXTO III
B16; CAMPOAMOR
B18; CARRASQUETA
B21; CAVITE
B27; CONVENTO CARMELITAS
B32; DOCTOR PÉREZ FELIU
B44; FRAY JUNÍPERO SERRA
B55; L'' HORTA SUD
B57; JACA
B72; MINISTRO LUIS MAYANS
B73; MÚSICO AYLLON
B74; MÚSICO GINÉS
A257; ACCESO MISLATA (SALIDA)
A266; PLAZA AMÉRICA
A29; AUSIAS MARCH
A295; CLARIANO
A387; TRES CRUCES
B75; OLTA
A397; REUS (Entre Burjasot y Ruaya)
A407; AVDA. DEL LEVANTE U.D.(entre Av. de Ecuador y Juan XXIII)
A44; BARÓN DE CARCER, AVDA.
A45; BARON DE CARCER, AVDA.
A80; CONSTITUCION, AVENIDA
B115; ALAMEDA
B108; VICENTE LA RODA
B13; BORRULL
B123; PADRE ANTÓN MARTÍN De Avda. Naranjos a San Juan de Dios
B23; COETERS
B20; CASTIELFABIG
B24; COFRENTES
B26; CONDE SALVATIERRA
B58; JAIME ESTEVE
B65; JUAN GINER
B69; MARVÀ
B91; RAMÓN ASENSIO
B36; ENGUERA
B41; FÉLIX PIZCUETA
